distance,height
-19.820721605341852,1.9790883451251098
-19.72072160534185,1.9749431080383686
-19.62072160534185,1.9707926884309006
-19.520721605341848,1.9666370334526733
-19.420721605341846,1.9624760925705527
-19.320721605341845,1.9583098175466505
-19.220721605341843,1.954138162416738
-19.120721605341842,1.9499610834687418
-19.02072160534184,1.9457785392213056
-18.92072160534184,1.9415904904024273
-18.820721605341838,1.9373968999281683
-18.720721605341836,1.933197732881438
-18.620721605341835,1.9289929564908481
-18.520721605341834,1.9247825401096401
-18.420721605341832,1.9205664551946895
-18.32072160534183,1.9163446752855782
-18.22072160534183,1.9121171759837408
-18.120721605341828,1.9078839349316878
-18.020721605341826,1.903644931792295
-17.920721605341825,1.8994001482281715
-17.820721605341824,1.8951495678810988
-17.720721605341822,1.8908931763515406
