,Run,Qb,Hs,Tp,Eig,Esw,Hbar
67,20180614-2030,0.0,0.5499761181818182,13.295454545454547,0.017848776357859412,0.0012465826760972459,2.6480975107291664
68,20180614-2030,0.0,0.5545932482142857,13.325892857142856,0.019545032977715465,0.0011517828193654774,2.5282797309791665
69,20180614-2030,0.0,0.5617397072727274,13.738636363636365,0.02076401786786055,0.001114915933707943,2.606117173333333
70,20180614-2100,0.0,0.4456103360655739,11.92303278688525,0.011383572641676595,0.0009630667955683256,2.1152679201770836
71,20180614-2100,0.0,0.466702059375,11.484375,0.012106485654691117,0.0009701894768273915,1.9050220894375003
72,20180614-2100,0.0,0.4703039390624999,11.513765624999998,0.011850997010866268,0.0009955433971973848,1.7566553079374998
73,20180614-2100,0.0,0.4832545887096774,12.012096774193548,0.01252611764148714,0.0011348068830773813,1.6921173032395835
74,20180614-2100,0.782608695652174,0.5354741565217391,11.730956521739131,0.011530238286173378,0.0015914362238361635,1.11792550690625
75,20180614-2100,0.9130434782608695,0.4804697608695651,11.546043478260874,0.009304138962028252,0.0010796025446776158,0.8590250359791666
76,20180614-2100,0.8088235294117647,0.189244575,11.969514705882354,0.0013340228499248293,0.0005239689209863921,0.6736926400625
77,20180614-2100,0.0,0.43308509999999995,11.44921875,0.01116334027247874,0.0009617229348604967,2.226084974145833
78,20180614-2100,0.0,0.3824838532258063,11.65524193548387,0.009185077040721254,0.0007358467017707397,2.4864956387708332
79,20180614-2100,0.0,0.40739624516129014,11.36491935483871,0.010359013255303516,0.0009331056403800211,2.6271884483125003
80,20180614-2100,0.0,0.3874781709677418,11.522177419354838,0.009169749290568128,0.0008961639858293232,2.7722434300625
81,20180614-2100,0.0,0.4005263714285713,11.589285714285714,0.009630313132160956,0.0008607155676886186,2.6312466465
82,20180614-2100,0.0,0.3879976693548387,11.46774193548387,0.009407444617092215,0.0007492128873948664,2.511417264520833
83,20180614-2100,0.0,0.390165361904762,11.547619047619047,0.009596361581742477,0.0007654427094054741,2.590145667083333
84,20180615-1930,0.0,0.25003600476190474,14.023761904761905,0.0032188435733754963,0.000204253240208663,1.8176778758854168
85,20180615-1930,0.0,0.2755824187499999,13.631765625000002,0.0036258713702313214,0.00023127749012660098,1.597124757677083
86,20180615-1930,0.05263157894736842,0.3173192947368421,15.315631578947372,0.004694666196570425,0.00021690916499079508,1.4465218559583333
87,20180615-1930,0.15384615384615385,0.29954413846153843,13.523030769230768,0.004564992522081126,0.00016605933539092917,1.32681961159375
88,20180615-1930,0.654320987654321,0.2655491851851851,11.016222222222222,0.0031411671662051575,0.00024356066133463889,0.8571430153229166
89,20180615-1930,0.8133333333333334,0.217603716,12.010079999999999,0.0024482871708961197,0.00019787192814827893,0.6216586423229167
90,20180615-1930,0.6823529411764706,0.18299584941176472,10.274964705882354,0.002007390501713523,0.0004088244086523531,0.31503636847916666
91,20180615-1930,0.0,0.258162925,14.543750000000001,0.0035864779989612803,0.00019146810026131607,1.9468841257083334
92,20180615-1930,0.0,0.26149248305084755,14.58686440677966,0.0037090661758158684,0.0001646174452306555,2.1474602731875
93,20180615-1930,0.0,0.280015011111111,15.194444444444443,0.003838112326200153,0.00015365848375270308,2.238141345875
94,20180615-1930,0.0,0.2588913666666666,16.0,0.0032966238874819393,0.00012756595531427102,2.4319964569583337
95,20180615-1930,0.0,0.21794993571428573,12.053571428571429,0.0026728686754275617,0.00012007076332488142,2.268772431875
96,20180615-1930,0.0,0.23766215084745757,13.84957627118644,0.0030013503030735995,0.0001260965104371571,2.1311259349791665
97,20180615-1930,0.0,0.26317557857142854,14.645089285714285,0.003602272498608704,0.00014187377031800317,2.2794996001041667
98,20180615-2000,0.0,0.23352961621621618,11.46535135135135,0.0035635514541875915,0.00018401849868343657,1.9242373475833334
99,20180615-2000,0.0,0.25075374155844155,11.415545454545455,0.004209876694547226,0.00019154103444332372,1.7039423165
100,20180615-2000,0.0,0.2836910130434782,12.90769565217391,0.005170573075892443,0.00017881680278005816,1.553683180875
101,20180615-2000,0.0,0.2722674116883117,11.883194805194805,0.004983440567584163,0.00016557035570927332,1.4329786179062496
102,20180615-2000,0.5930232558139535,0.2597580488372093,10.327813953488373,0.003966767937962848,0.0002237269274152752,0.95833031228125
103,20180615-2000,0.5862068965517241,0.2094042931034483,10.887931034482758,0.0023643625688215264,0.00013242421935355744,0.7265464601458334
104,20180615-2000,0.6511627906976745,0.19703293604651165,10.528430232558136,0.0031425643966835554,0.0002795044769431252,0.42099475229166666
105,20180615-2000,0.0,0.24132168260869552,12.179347826086957,0.0035888812616137085,0.00017220099575260582,2.0535670463124998
106,20180615-2000,0.0,0.22296664615384615,13.59230769230769,0.003488224798861333,0.00015217006479011438,2.253712971583333
107,20180615-2000,0.0,0.22974130161290318,13.766129032258064,0.0036656058814471372,0.00014860740939722246,2.3440215289791664
108,20180615-2000,0.0,0.2164810687500001,13.505859375,0.0033671240181625682,0.0001321956712653724,2.5375654419375
109,20180615-2000,0.0,0.204930227027027,11.929054054054053,0.0029480702601986527,0.00011764215147494265,2.374809288
110,20180615-2000,0.0,0.22157343529411755,12.259191176470587,0.0032409461852605107,0.00011345960582379225,2.2375869384166664
111,20180615-2000,0.0,0.2340698647058823,12.237132352941176,0.0037426238166462025,0.00011320213486391735,2.3858162991041665
112,20180615-2030,0.0,0.21621062249999998,10.835287499999996,0.0024818526837052574,0.0002577457992246816,2.0626543981041663
113,20180615-2030,0.0,0.24041535555555554,11.212962962962962,0.003311851429820464,0.00026046576681348796,1.8429451797187502
114,20180615-2030,0.0,0.2518075662162162,11.751689189189188,0.0036671774717033133,0.0002712181048972983,1.69201338209375
115,20180615-2030,0.0,0.25086305999999997,10.391858823529413,0.003399641558262188,0.00030963153467108246,1.5716380427812497
116,20180615-2030,0.5,0.27118591000000003,9.887466666666667,0.0036832574296877417,0.0003536911269288856,1.0930857904687499
117,20180615-2030,0.5816326530612245,0.20810396326530614,8.977102040816327,0.0020603489944794624,0.00027304580924657966,0.8637280383125
118,20180615-2030,0.7604166666666666,0.23094395312500002,9.793,0.003199627199742156,0.0003740407839092929,0.5660262609791666
119,20180615-2030,0.0,0.21706740800000007,12.095,0.002315717307727769,0.0002549887014228849,2.1921122158958335
120,20180615-2030,0.0,0.20915285416666674,11.796875,0.002339119601572147,0.00025766225749688224,2.3909801309375
121,20180615-2030,0.0,0.21578723478260872,12.684782608695652,0.0024656076205340385,0.00026573625792021327,2.481872866395834
122,20180615-2030,0.0,0.20375882307692297,12.715384615384615,0.0022721476891422216,0.0002768572809503425,2.6754619639791666
123,20180615-2030,0.0,0.20519241710526331,11.294407894736844,0.0022481991097774378,0.00027807408934544153,2.51249890425
124,20180615-2030,0.0,0.20695509740259743,10.646103896103895,0.002663803621077775,0.00027257261991981476,2.375203643729167
125,20180615-2030,0.0,0.2015147746478873,12.390845070422534,0.0025892802113757153,0.0002588926481652312,2.5239011932916666
126,20180615-2100,0.0,0.22497514799999999,11.5,0.003274207896692029,0.0001657261557323629,2.1064997764166664
127,20180615-2100,0.0,0.23486157662337662,11.668831168831169,0.004349934485746002,0.00021438417895360188,1.8866032911354167
128,20180615-2100,0.0,0.26237808,11.567440000000001,0.005057106418159043,0.00025503700383246555,1.735698179927083
129,20180615-2100,0.0,0.24965421,10.052033333333334,0.004488039582144839,0.0002747739475684277,1.6155696952187502
130,20180615-2100,0.3373493975903614,0.26844346265060237,11.003602409638557,0.004309508224047551,0.000160998255385559,1.1371874893125
131,20180615-2100,0.4673913043478261,0.19661342282608696,9.397434782608695,0.0022484510253551688,9.83440928850151e-05,0.9107995187500001
132,20180615-2100,0.7666666666666667,0.21668479666666668,10.122966666666665,0.0030558099052180967,0.00019473131298132918,0.6156691239166666
133,20180615-2100,0.0,0.22461251666666665,11.34375,0.003087035529857872,0.00014790307847538687,2.236148547
134,20180615-2100,0.0,0.2207819304347825,12.293478260869565,0.00338160610475613,0.0001323981483721017,2.435699985208333
135,20180615-2100,0.0,0.21976777826086966,12.630434782608695,0.0037509169579427576,0.0001329036485617854,2.5265587416249997
136,20180615-2100,0.0,0.22197278499999992,14.162500000000001,0.003840468216325088,0.00013242685196340642,2.7201168257916666
137,20180615-2100,0.0,0.2148077000000001,12.532608695652174,0.003454282097068509,0.00014007746940467518,2.557016994708333
138,20180615-2100,0.0,0.22069359428571436,11.833928571428572,0.0032083077845990967,0.00015246476259030795,2.419835043125
139,20180615-2100,0.0,0.22225776617647058,11.878676470588234,0.0034784467045424388,0.00015667619245400023,2.5682328151041665
140,20180615-2130,0.0,0.2539571777777777,11.231555555555554,0.003322154979169068,0.00014036855583104114,2.1050955595
141,20180615-2130,0.0,0.2653568580645161,10.433548387096772,0.003795164523221738,0.0001552101556266187,1.8849984846145833
142,20180615-2130,0.0,0.28709316428571424,11.004392857142859,0.004197723701925825,0.00015309027284187628,1.7346056730416668
143,20180615-2130,0.0,0.2766063193548387,10.520129032258065,0.003814343665984888,0.00013347846516063256,1.6135716092083332
144,20180615-2130,0.5048543689320388,0.27484735922330095,9.131009708737865,0.004232967682682182,0.000105412631366166,1.1360069147083334
145,20180615-2130,0.6185567010309279,0.2123160092783505,9.25320618556701,0.0022437304858354276,6.0635934134592925e-05,0.9123332798645833
146,20180615-2130,0.7058823529411765,0.21643487647058823,9.226058823529412,0.0026899139098402985,0.00012731681295617616,0.6237407920416668
147,20180615-2130,0.8620689655172413,0.1724195379310345,10.64665517241379,0.0016434693528069937,0.000550265581189711,0.24770537698958336
148,20180615-2130,0.0,0.24184853103448276,10.823275862068966,0.003147069635929189,0.00013327162950063287,2.234535326708333
